"review_id","author","rating","text","timestamp_iso","timestamp_unix","thumbs_up","app_version","source_country","source_sort","avatar_url"
"4f034787-280c-46b3-bd48-37cf0af7eeea","Kellie Gravestock","3","Loved this game been playing for years. Got so addicted. Only problem is I've now lost all progress and have had to start again because you took away the option to sign in through Google.","2023-10-25T14:18:28+00:00","1698243508","0","","US","NEWEST","https://play-lh.googleusercontent.com/a/ACg8ocLktaScIwNqMGNnkFODJV00kVWV9K2kizjoSUPa4zeEd8ugAA=mo"
"e7f6056a-e5fc-42c4-a5b2-f8b7d19147fc","Angelina Long","3","Love this game but I can't even complete team challenges because the squares are all green. It won't even let me back out without closing the whole game. Also when you find the hidden spell, you barely get any shots with that, it's almost pointless 🙄","2023-10-24T14:18:38+00:00","1698157118","65","7.39.18","US","NEWEST","https://play-lh.googleusercontent.com/a-/ALV-UjXvCTxMagSlEImJ6T-fMEbgGk3GqPSWB4LJaAlogVYP-tTz7Th4UA"
"93ea7c3a-4f34-4283-83c2-e20144bf1f4e","Pauline “Ladybikerider”","5","Too many pop up . Sometimes, I don't even know what's going on and just have to wait until all the extra bs is done. After playing for a while, I can say it gives you lots of free play time and boosters. I still think there are too many ads for everything.","2023-10-21T01:52:33+00:00","1697853153","10","7.39.18","US","NEWEST","https://play-lh.googleusercontent.com/a-/ALV-UjUvhU1zJAoLcxRVL9MkEjTvPxBP8lTakyOOwL5eNrXNxw_fBQze"
"5b42b298-1cfc-416d-91f2-e9dc65aa2ee3","Brenda Henry","5","For someone my age, I love it, really awesome!! Love the events and especially the graphics. Hoping to get as far in this game as I did on my old phone. Great work!!","2023-10-20T23:46:09+00:00","1697845569","0","7.38.11","US","NEWEST","https://play-lh.googleusercontent.com/a/ACg8ocLL3PFBDzciKqofJv9L4t54s4V44E5ykG69I5EhGv1ABMbE-w=mo"
"d10cf65b-6ed3-4ece-b04c-acad30d3848d","peggy ryon","3","The app freezes frequently when you try to access it. Also this new style of play where the turns are made to more then you can beat , then you can watch commercials for mote shots. It gets boring spending a lot of game time watching vommercials over and over. Have played for years but I think it's time for a different game. Freezing less now","2023-10-20T22:40:30+00:00","1697841630","254","7.39.18","US","NEWEST","https://play-lh.googleusercontent.com/a/ACg8ocJVohBJCMY_kYu1zzCPhRzgpWWZBzs0o4gkxeVpeWc7jyhyPsPr=mo"
"8bd6f709-647b-447c-952f-20a3091da3ac","A Google user","5","It's so much fun and challenging once I start playing its hard to stop. I love it because I've been playing this game since Bubble Witch 2. You give the players more options to win! This is THE ONLY GAME I will play. The only thing I don't like is it takes too long to win one game. I love a challenge, but when it takes too long I lose interest","2023-10-13T17:01:35+00:00","1697216495","3116","7.39.18","US","NEWEST","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g"
"66f1f382-25f0-4f85-b962-afbab6c3b50d","Mr Mrridha","5","Good but not like Candy Crush Saga, i mean to say Save Progress System Which level i reached i want it should start from there not from level 1. I reached 4664 levels in Candy Crush Saga and now i Have deleted that app but my game Progress will start from 4664 level where i stop playing i can long in different devices. I want this update soon in this game","2023-10-09T15:19:35+00:00","1696864775","0","","US","NEWEST","https://play-lh.googleusercontent.com/a-/ALV-UjXetAZYj6XureRrmTTxLhK44YJiijT_xymQpsy6I4ezaSEzNoR_"
"1874e28f-89f2-4fa0-89a7-d749eb480e34","Nicki D E","3","Starts off super fun but then the levels seem almost unbeatable unless you use all your spells. I mean, not even close to beating levels and using 3-4 spells to pass just to have it happen 2 levels later. I like a challenge but I don't like playing a level 30 times before I beat it!","2023-10-04T03:27:11+00:00","1696390031","108","7.38.11","US","NEWEST","https://play-lh.googleusercontent.com/a-/ALV-UjUU3f1QnoPEId7pEuT7J2jcHHimvQZRXjhY3Ax3wbnjQsbIbmcf"
"1d19e71c-1420-4e33-a7a3-51dc1962e65a","Sarah Smolarek","5","Its really fun! The only qualm I have is when you make a bubble match it takes forever for the next bubble to be playable. Other than that I love how interactive it is and how you can design your own home!! Its great and my kids love it!!","2023-10-01T14:50:17+00:00","1696171817","0","7.38.11","US","NEWEST","https://play-lh.googleusercontent.com/a/ACg8ocKxJMwGVICm0kea2hs7RGpywskPNa6Ft7oZo8wRk3yJ_O_MvA=mo"
"347044cc-ce98-4dfe-bc74-0ffae686cdc9","Natalie Eilert","1","I have loved playing this game until this week. I've had it for a long time. I'm on level 5955 but all of a sudden this week all the extra bubbles I can earn by watching ads are gone and I have to pay for them instead. I'm not doing that and I'll Uninstall the game if I can't level up.","2023-10-01T03:53:58+00:00","1696132438","5","7.38.11","US","NEWEST","https://play-lh.googleusercontent.com/a-/ALV-UjU4LuPt-R0-LDUWxnyGwGZuCjT1Gvsv3H4stJciEZoSQTVU_xlT"
"bc8b45d9-2c27-4f9b-8a94-5ce00bb770f4","Janet Rocco","5","Love the game. Try it. You'll love it. On the down side, I was sick one day and didn't log in and they quickly took away my daily streak which was over 350 days to the beginning. The rewards are less too. 4-19-22 my internet was down. Again they dropped me to day one. Not fair for a loyal player. There needs to be some leway. Try the game. You'll love it. 8-15-22 and 9-25-22. Still playing.","2023-09-30T13:36:52+00:00","1696081012","62","7.38.11","US","NEWEST","https://play-lh.googleusercontent.com/a/ACg8ocISnUFGkx9Z7w8pkyEpQXLEbCL94JJimS0H6gevEXys6Kmilg=mo"
"30e28084-1750-41e4-a3a2-a74734c5200a","A Sunshine","3","Please have the developer(s) to turn off ad sounds. If I chose to play the game without sound, all ads that are shown NEED to be without sound. I'm not asking for ads to be removed. I'M REQUESTING THAT THE ADS MATCH THE SOUND OF GAME PLAY. IF I NEED TO PLAY WITHOUT SOUNDS, ADS DO NOT NEED TO POP UP WITH SOUND. THERE'S A REASON WHY I'M PLAYING WITHOUT SOUND. ADS NEED TO MATCH. Other than that the app would get 5 stars. Fix this and I will update review.","2023-09-27T18:50:09+00:00","1695840609","67","7.38.11","US","NEWEST","https://play-lh.googleusercontent.com/a/ACg8ocIllVuOF2phq4Jr-f-qQlOOQ-eGp_3diNVf6zMDZ0zGFp64Lw=mo"
"a25ab943-b28e-41ee-80ae-8a0d9e6fe0e6","Richard Bernard Wallace Jr","5","I'm an old school beta tester and I've had this game from off Facebook since it first came out and was really great but like all from Google and Facebook someone's money hungry so what was easy and Free isn't they want money now but if ur like me u can still play free so everyone should download and play like I do ok.......ps Google and Facebook syncing link is broken there syncing don't sync broken link ....","2023-09-27T05:13:21+00:00","1695791601","0","7.38.11","US","NEWEST","https://play-lh.googleusercontent.com/a-/ALV-UjVzk4busdqDfh0vROjfGCNb2tJhQsQFkSS9u3VqOTu2D20NvqSS"
"d4e3b04c-c9dd-430a-9e29-20e3a20d09d1","Theresa Ballard","3","There's other games I enjoy more but if your looking for something to play just to pass the time this games for you. More ads that pop up no matter what you do. There annoying, but oh well they keep these games free to play. This being said, I enjoy playing it. Its fun, easy, time consuming, and anyone, any age can play. It's the perfect game to play while sitting on hold, waiting for someone to answer your call. This game could be more fun if it wasn't such a pain to try to kill the witch. I fi","2023-09-26T04:59:19+00:00","1695704359","127","7.38.11","US","NEWEST","https://play-lh.googleusercontent.com/a-/ALV-UjW3Mq8Mcnm-W3k8veKfRQ4MufWwbxWqesk7Z2kO1wQOyS6zHSco"
"fab201a6-63ab-49b6-9868-97768902b997","Tina","5","I really like this game. I'm on 45 day straight play not sure how many days it goes to but I will just keep going. I would like to see some added attractions within the game it's the same old thing just bubbles in different orders different colors and places. Would also like for them to change the music and sounds for ghosts etcetera. Other than that I like the game will continue until my consecutive days run out. Lol","2023-09-17T23:29:31+00:00","1694993371","138","7.38.11","US","NEWEST","https://play-lh.googleusercontent.com/a-/ALV-UjXrCwqZm7SJ09m6KDbvikesefxQjQOvTK7Se4N2eEp55Ljoo9A-_g"
